id,age,sex,year,va_home,hs_gpa,col_gpa,skipped,hrs_hw,major,fav_sub,schooltype,greek,clubs,sports,hrs_workout,hrs_ptjob,morning,hrs_slept,daily_meals,days_drink,drugs,relationship,eat_out,hrs_vgames,enjoy_college,politics,legalize_weed,support_abortion,restrict_guns,too_much_ineq,climate_change_real,defund_police,religion,sibs,fav_season,handedness,fired_gun,fav_music,hrs_music,countries_visited,age_married,intro_v_extro,cats_v_dogs,peak,hogwarts_house,superpower
11,19,Female,Freshman,Northern VA (DC Area),3.5999999,3.5,2,.5,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",English,Public,No,0,0,4,0,No,8,2,4,Yes,No,1,0,1,3,1,5,4,3,1,3,Christian,1,Spring,Left,Yes,Country or Folk,2,10,28,4,Dogs,College,Don't know/Don't like Harry Potter,Teleportation (30 second recharge time)
12,18,Female,Freshman,Northern VA (DC Area),3.2,2,2,3,Business (Luter school),History,Public,Yes,0,0,4,0,No,7,2,4,Yes,No,0,0,2,3,1,5,2,2,1,3,Christian,2,Summer,Right,No,Hiphop/rap,5,1,24,4,Dogs,High School,Gryffindor,Teleportation (30 second recharge time)
13,18,Female,Freshman,Hampton Roads,4.2199998,3.1800001,0,1,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",Math,Public,No,0,0,0,0,Yes,8,2,2,Yes,Yes,1,0,2,1,1,1,1,1,1,2,Atheist or Agnostic,4,Summer,Right,Yes,Other,5,0,24,4,Cats,College,Don't know/Don't like Harry Potter,Teleportation (30 second recharge time)
14,18,Male,Freshman,Northern VA (DC Area),3.2,2.9000001,0,.5,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",English,Private,No,1,0,3,0,Yes,7,2,0,No,No,2,3,1,4,2,5,4,2,1,5,Christian,4,Winter,Right,Yes,Country or Folk,0.5,9,24,3,Dogs,High School,Hufflepuff,Flight (the speed of the fastest bird)
15,18,Female,Freshman,Western VA,3.5999999,2.8,4,3,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",English,Private,No,0,0,3,0,No,5,2,5,Yes,No,1,0,1,4,1,1,3,2,3,5,Other,1,Summer,Left,Yes,R&B,3,1,25,4,Both,College,Don't know/Don't like Harry Potter,Flight (the speed of the fastest bird)
16,19,Male,Freshman,Richmond Area,3.3,2.5999999,2,3,"Arts or Humanities (English, Art, Music, History, etc)",Science,Public,Yes,1,0,2,15,No,6,2,2,Yes,Yes,0,3.5,2,3,1,1,3,3,1,4,Atheist or Agnostic,1,Summer,Right,Yes,Hiphop/rap,3,1,23,4,Dogs,College,Don't know/Don't like Harry Potter,Teleportation (30 second recharge time)
17,18,Female,Freshman,Northern VA (DC Area),3.7,3.5999999,`,6,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",Math,Private,No,1,0,5,15,Yes,7,2,0,No,Yes,2,0,4,4,5,5,3,3,4,4,Christian,1,Summer,Right,No,Pop,3,1,25,2,Dogs,College,Don't know/Don't like Harry Potter,Teleportation (30 second recharge time)
18,19,Female,Freshman,Other part of VA,3.5,3.5999999,2,3,Business (Luter school),English,Private,Yes,3,1,4,0,No,10,2,2,Yes,No,2,0,4,5,2,2,5,3,3,5,Christian,0,Summer,Right,Yes,Country or Folk,4,0,26,4,Both,College,Ravenclaw,Teleportation (30 second recharge time)
19,19,Female,Freshman,Northern VA (DC Area),4.3000002,4,0,4,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",English,Public,Yes,2,0,6,0,Yes,8.5,3,0,No,Yes,2,0,1,1,3,5,1,2,1,3,Christian,1,Summer,Right,No,Alt Rock,2,3,25,4,Dogs,College,Hufflepuff,Flight (the speed of the fastest bird)
20,18,Female,Freshman,Hampton Roads,3.9300001,2.74,2,4.5,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",Math,Public,Yes,1,1,,0,No,,2,2,Yes,No,3,0,1,5,1,1,3,1,1,5,Christian,2,Summer,Right,No,Pop,5,0,27,5,Dogs,High School,Ravenclaw,Flight (the speed of the fastest bird)
